Goal,EAM Query
Display newly written files,event_simpleName=*Written | table timestamp ComputerName TargetFileName | sort - by timestamp
Display newly written registry entries,event_simpleName=ASEP* | table timestamp ComputerName RegObjectName | sort - by timestamp
History of network connections per process,"event_simpleName=ProcessRollup* FileName=<insert filename>, then use the drop-down next to the event to ""Find network events for this process""
event_simpleName=ProcessRollup* SHA256HashData=<insert hash>, then use the drop-down next to the event to ""Find network events for this process"""
History of domain names queried,"event_simpleName=DnsRequest | eval latest_time=strftime(_time, ""%m/%d/%y %I:%M%p"") | stats values(LocalAddressIP4) AS ""Local IP"" count as Count latest(latest_time) AS ""Latest Event"" by DomainName ComputerName | sort by Count"
GeoIP connections (excluding RFC1918 & loopback),"event_simpleName=""NetworkConnectIP4"" (RemoteAddressIP4!=192.168.0.0/16 AND RemoteAddressIP4!=10.0.0.0/8 AND RemoteAddressIP4!=172.16.0.0/12 AND RemoteAddressIP4!=127.0.0.0/8) | dedup RemoteAddressIP4 ComputerName | iplocation RemoteAddressIP4 | table timestamp ComputerName RemoteAddressIP4 City Country | sort - by timestamp"
Non-US network connections (excluding RFC1918 & loopback),"event_simpleName=""NetworkConnectIP4"" (RemoteAddressIP4!=192.168.0.0/16 AND RemoteAddressIP4!=10.0.0.0/8 AND RemoteAddressIP4!=172.16.0.0/12 AND RemoteAddressIP4!=127.0.0.0/8) | dedup RemoteAddressIP4 ComputerName | iplocation RemoteAddressIP4 | table timestamp ComputerName RemoteAddressIP4 City Country | where Country!=""United States"""
Summarized non-US network connections (excluding RFC1918 & loopback),"event_simpleName=""NetworkConnectIP4"" (RemoteAddressIP4!=192.168.0.0/16 AND RemoteAddressIP4!=10.0.0.0/8 AND RemoteAddressIP4!=172.16.0.0/12 AND RemoteAddressIP4!=127.0.0.0/8) | iplocation RemoteAddressIP4 | stats count by Country | sort - by count"
Display all file hash data across entire network,event_simpleName=ProcessRollup* OR event_simpleName=ImageHash | table FileName MD5HashData SHA1HashData SHA256HashData
OS data for files,event_simpleName=ImageHash OR event_simpleName=ProcessRollup* OR event_simpleName=PEVersionInfo | table FileName event_platform
"Extract signed information from binaries (It's ugly, but this will provide the information until Splunk creates a hex-->ASCII decoder)","It's ugly, but this will get you the information until Splunk creates a hex-->ASCII decoder: event_simpleName=PeVersionInfo | rex mode=sed field=VersionInfo ""s/([0-9A-Fa-f]{2})/%\1/g"" | rex mode=sed field=VersionInfo ""s/%[890ABCDEDFabcdef][\d\w]/-/g"" | eval decode=urldecode(VersionInfo) | table FileName decode"
Locate all systems where a particular file exists (by filename - could substitute SHA256HashData=<insert hash> in place of the FileName argument if locating by hash is preferred),FileName=<insert file name> | stats count by ComputerName
Show full command line parameters used to launch files,"event_simpleName=ProcessRollup* | table timestamp ComputerName FileName CommandLine
event_simpleName=CommandHistory | table timestamp ComputerName ApplicationName CommandHistory"
Show command history for specific binary with CLI (e.g. cmd.exe or powershell.exe),event_simpleName=CommandHistory* ApplicationName=<insert filename> | table timestamp ComputerName ApplicationName CommandHistory
List user login count per user per computer,"event_simpleName=UserIdentity UserName!=none | stats count AS Logins by UserName, ComputerName | stats list(UserName) AS Usernames list(Logins) AS ""Login Count"" by ComputerName | rename ComputerName TO ""Computer Name"""
List systems with the most unique user logins,event_simpleName=UserIdentity UserName!=none UserName=* | dedup ComputerName UserName | stats count by ComputerName | sort - by count
List network connections or DNS queries,"event_simpleName=NetworkConnect* | rename LocalAddressIP4 AS ""Local IP"" LocalPort_decimal AS ""Local Port"" RemoteAddressIP4 AS ""Remote IP"" RemotePort_decimal AS ""Remote Port"" |table timestamp ComputerName ""Local IP"" ""Local Port"" ""Remote IP"" ""Remote Port""
event_simpleName=DNSRequest | table timestamp ComputerName DomainName
event_simpleName=DNSRequest | table timestamp ComputerName DomainName | dedup ComputerName DomainName"
List network connections by user,"event_simpleName=NetworkConnect* | join TargetProcessId [search UserName!=*$ AND UserName!=""LOCAL SYSTEM"" AND UserName!=""LOCAL SERVICE""] | table timestamp ComputerName UserName LocalAddressIP4 RemoteAddressIP4"
List all files that triggered VT detection,event_simpleName=VT | rename srcEventId as id | rename sha256 as SHA256HashData | join SHA256HashData [search FileName=*] | table timestamp ComputerName FileName SHA256HashData detectionCount | dedup ComputerName SHA256HashData | sort - by detectionCount
List new processes that were not seen before (first seen in last 24 hours),"event_simpleName=ProcessRollup* | stats earliest(_time) as FirstRun by SHA256HashData | eval OneDayAgo=(now()-86400) | where FirstRun>OneDayAgo | fieldformat FirstRun=strftime(FirstRun, ""%m/%d/%y %H:%M:%S"") | fieldformat OneDayAgo=strftime(OneDayAgo, ""%m/%d/%y %H:%M:%S"") | join SHA256HashData [search FileName=* AND ComputerName=*] | table FirstRun ComputerName FileName SHA256HashData OneDayAgo"
Find first event of a particular file or hash in the environment (note that time range needs to be specified),"event_simpleName=ProcessRollup* | stats earliest(_time) as FirstSeen by SHA256HashData | fieldformat FirstSeen=strftime(FirstSeen, ""%y/%m/%d %H:%M:%S"") | join SHA256HashData [search <insert hash>] | table FirstSeen ComputerName SHA256HashData FileName"
Find last event of a particular file per computer (used filename in this example),"event_simpleName=ProcessRollup* FileName=GoogleUpdate.exe | stats latest(_time) AS LastSeen by SHA256HashData | fieldformat LastSeen=strftime(LastSeen, ""%m/%d/%y %I:%M%p"") | join SHA256HashData [search event_simpleName=ProcessRollup*] | table ComputerName LastSeen FileName SHA256HashData"
Search for uncommon remote IP addresses,event_simpleName=NetworkConnect* | rare RemoteAddressIP4 | where percent < 10 | sort by percent asc
Search for uncommon non-RFC1918 remote addresses,"event_simpleName=NetworkConnect* AND RemoteAddressIP4!=""10.0.0.0/8"" AND RemoteAddressIP4!=""172.16.0.0/12"" AND RemoteAddressIP4!=""192.168.0.0/16"" AND RemoteAddressIP4!=""127.0.0.1"" | rare RemoteAddressIP4 | where percent < 10 | sort by percent asc"
